Date,Close,High,Low,Open,Volume
6/4/2020,78.32931519,79.13126908,77.95506658,78.83236263,87560400
6/5/2020,80.56021881,80.62097312,78.55046881,78.5796297,137250400
6/8/2020,81.03653717,81.07056315,79.54441498,80.25645381,95654400
6/9/2020,83.59550476,83.98919153,80.68416274,80.71575617,147712400
6/10/2020,85.74620819,86.21522972,84.1058417,84.54570235,166651600
6/11/2020,81.62949371,85.31363615,81.52743062,84.88835596,201662400
6/12/2020,82.33426666,84.52142259,81.22125058,83.77293249,200146000
6/15/2020,83.35250092,84.00621804,80.82268995,80.9855148,138808800
6/16/2020,85.56153107,85.83371668,83.77292723,85.41086152,165428800
6/17/2020,85.44245148,86.3683468,85.32094283,86.30759247,114406400
6/18/2020,85.47647095,85.89446097,84.8664952,85.39870364,96820400
6/19/2020,84.98799896,86.65023618,83.87740827,86.18364718,264476000
6/22/2020,87.21159363,87.35497291,85.33550028,85.38167415,135445200
6/23/2020,89.07312012,90.49477264,88.03786417,88.45828672,212155600
6/24/2020,87.50079346,89.62233679,87.1265448,88.70129931,192623200
6/25/2020,88.66241455,88.7012982,86.89568177,87.65632697,137522400
6/26/2020,85.9382019,88.7790745,85.78995751,88.55792789,205256800
6/29/2020,87.91876984,88.01355011,85.36708902,85.84583324,130646000
6/30/2020,88.65270233,88.93946836,87.48622233,87.50566045,140223200
7/1/2020,88.48499298,89.27479892,88.43639399,88.73044274,110737200
7/2/2020,88.48499298,90.0305863,88.37078201,89.39388239,114041600
7/6/2020,90.85201263,91.32103421,89.88480118,89.91639461,118655600
7/7/2020,90.57009125,92.01118163,90.4583054,91.2310984,112424400
7/8/2020,92.67948914,92.71108257,91.46197032,91.54946039,117092000
7/9/2020,93.07804108,93.62725503,92.02820476,93.57379094,125642800
7/10/2020,93.24088287,93.29921207,92.05982227,92.67222324,90257200
7/13/2020,92.81072235,97.16316235,92.59686598,94.54829427,191649200
7/14/2020,94.34659576,94.53857406,91.25541585,92.19102639,170989200
7/15/2020,94.99544525,96.47541947,93.7949394,96.22511199,153198000
7/16/2020,93.82653809,94.68438876,93.22628512,93.86542174,110577600
7/17/2020,93.63697815,94.43407445,93.16309153,94.27854726,92186800
7/20/2020,95.61027527,95.74879688,93.37937868,93.72446644,90318000
7/21/2020,94.29070282,96.4778583,94.04039532,96.40252354,103433200
7/22/2020,94.55558014,95.23845801,93.90429569,93.99177834,89001600
7/23/2020,90.2517395,94.3660194,89.44006285,94.28825211,197004400
7/24/2020,90.02817535,90.37326314,86.65509448,88.44613798,185438800
7/27/2020,92.16184998,92.25419771,90.86900398,91.09257567,121214000
7/28/2020,90.64788818,91.9091486,90.64302309,91.7317433,103625600
7/29/2020,92.38545227,92.57014778,91.09503108,91.13148219,90329200
7/30/2020,93.50332642,93.60782206,91.1484885,91.55675573,158130000
