ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-04,88.50240899875499,66.99720802229656,86.92979943474265,88.50240899875499,88.50240899875499,-11.632777001068801,-11.632777001068801,-11.632777001068801,1.9508534961588722,1.9508534961588722,1.9508534961588722,-13.583630497227674,-13.583630497227674,-13.583630497227674,0.0,0.0,0.0,76.86963199768618
2020-06-05,88.63829504625463,66.90614666673541,87.41031574537931,88.63829504625463,88.63829504625463,-10.998510182519619,-10.998510182519619,-10.998510182519619,2.1298425550940543,2.1298425550940543,2.1298425550940543,-13.128352737613673,-13.128352737613673,-13.128352737613673,0.0,0.0,0.0,77.639784863735
2020-06-08,89.04595318875354,69.42039614637862,89.45253954104095,89.04595318875354,89.04595318875354,-9.41298062355141,-9.41298062355141,-9.41298062355141,2.3436084783216202,2.3436084783216202,2.3436084783216202,-11.756589101873029,-11.756589101873029,-11.756589101873029,0.0,0.0,0.0,79.63297256520214
2020-06-09,89.18183923625318,70.38013582212432,90.93582974684358,89.18183923625318,89.18183923625318,-9.056699661414838,-9.056699661414838,-9.056699661414838,2.2533304575831656,2.2533304575831656,2.2533304575831656,-11.310030118998004,-11.310030118998004,-11.310030118998004,0.0,0.0,0.0,80.12513957483834
2020-06-10,89.31772528375282,70.62884725425069,90.43868211175666,89.31772528375282,89.31772528375282,-8.751811307815032,-8.751811307815032,-8.751811307815032,2.1219218799752646,2.1219218799752646,2.1219218799752646,-10.873733187790297,-10.873733187790297,-10.873733187790297,0.0,0.0,0.0,80.56591397593779
2020-06-11,89.45361133125246,70.65875301405758,91.238935365285,89.45361133125246,89.45361133125246,-8.498795063358893,-8.498795063358893,-8.498795063358893,1.9508534961578643,1.9508534961578643,1.9508534961578643,-10.449648559516756,-10.449648559516756,-10.449648559516756,0.0,0.0,0.0,80.95481626789356
2020-06-12,89.58949737875209,71.73758555346338,91.72485719279825,89.58949737875209,89.58949737875209,-7.909160520289743,-7.909160520289743,-7.909160520289743,2.129842555082999,2.129842555082999,2.129842555082999,-10.039003075372742,-10.039003075372742,-10.039003075372742,0.0,0.0,0.0,81.68033685846234
2020-06-15,89.99715552125102,73.70849302339262,93.52369131953174,89.99715552125102,89.99715552125102,-6.545427653456632,-6.545427653456632,-6.545427653456632,2.3436084783270505,2.3436084783270505,2.3436084783270505,-8.889036131783682,-8.889036131783682,-8.889036131783682,0.0,0.0,0.0,83.45172786779439
2020-06-16,90.13304156875064,73.49885888947243,94.28258141267553,90.13304156875064,90.13304156875064,-6.276689355096795,-6.276689355096795,-6.276689355096795,2.2533304575839996,2.2533304575839996,2.2533304575839996,-8.530019812680795,-8.530019812680795,-8.530019812680795,0.0,0.0,0.0,83.85635221365385
2020-06-17,90.2689276162503,74.64438026901878,94.7178114726647,90.2689276162503,90.2689276162503,-6.058185701610134,-6.058185701610134,-6.058185701610134,2.121921879975086,2.121921879975086,2.121921879975086,-8.18010758158522,-8.18010758158522,-8.18010758158522,0.0,0.0,0.0,84.21074191464017
2020-06-18,90.40481366374992,74.20771284324292,94.82090558029756,90.40481366374992,90.40481366374992,-5.8858603619538,-5.8858603619538,-5.8858603619538,1.9508534961601038,1.9508534961601038,1.9508534961601038,-7.836713858113904,-7.836713858113904,-7.836713858113904,0.0,0.0,0.0,84.51895330179612
2020-06-19,90.54069971124956,74.73067785501149,95.07617081887281,90.54069971124956,90.54069971124956,-5.367048263005251,-5.367048263005251,-5.367048263005251,2.129842555083501,2.129842555083501,2.129842555083501,-7.496890818088753,-7.496890818088753,-7.496890818088753,0.0,0.0,0.0,85.17365144824431
2020-06-22,90.94835785374848,76.29292347448991,96.9037751351668,90.94835785374848,90.94835785374848,-4.122846277318324,-4.122846277318324,-4.122846277318324,2.343608478326795,2.343608478326795,2.343608478326795,-6.466454755645119,-6.466454755645119,-6.466454755645119,0.0,0.0,0.0,86.82551157643016
2020-06-23,91.08424390124812,76.58245384684618,98.00697286591583,91.08424390124812,91.08424390124812,-3.855114577703823,-3.855114577703823,-3.855114577703823,2.253330457578607,2.253330457578607,2.253330457578607,-6.10844503528243,-6.10844503528243,-6.10844503528243,0.0,0.0,0.0,87.2291293235443
2020-06-24,91.22012994874775,77.68600681880537,98.21876469917643,91.22012994874775,91.22012994874775,-3.6162204412571537,-3.6162204412571537,-3.6162204412571537,2.1219218799749098,2.1219218799749098,2.1219218799749098,-5.738142321232063,-5.738142321232063,-5.738142321232063,0.0,0.0,0.0,87.6039095074906
